Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,OH,Ohio,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,834",21,19.7,22.3,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,39,BO1,CAT1,_RFSMOK3,RESP046,"(40.06021014100048, -82.40426005599966)"
2014,OK,Oklahoma,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,427",21.1,19.9,22.3,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,40,BO1,CAT1,_RFSMOK3,RESP046,"(35.47203135600046, -97.52107021399968)"
2014,OR,Oregon,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,667,17,15.5,18.4,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,41,BO1,CAT1,_RFSMOK3,RESP046,"(44.56744942400047, -120.15503132599969)"
2014,PA,Pennsylvania,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,809",19.9,18.8,21.1,"2,704",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,42,BO1,CAT1,_RFSMOK3,RESP046,"(40.79373015200048, -77.86070029399963)"
2014,RI,Rhode Island,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,822,16.3,14.8,17.7,"2,692",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,44,BO1,CAT1,_RFSMOK3,RESP046,"(41.70828019300046, -71.52247031399963)"
2014,SC,South Carolina,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,829",21.5,20.4,22.7,"2,710",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,45,BO1,CAT1,_RFSMOK3,RESP046,"(33.998821303000454, -81.04537120699968)"
2014,SD,South Dakota,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,170",18.6,16.9,20.2,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,46,BO1,CAT1,_RFSMOK3,RESP046,"(44.353130053000484, -100.3735306369997)"
2014,TN,Tennessee,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,969,24.2,22.3,26.1,"2,694",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,47,BO1,CAT1,_RFSMOK3,RESP046,"(35.68094058000048, -85.77449091399967)"
2014,TX,Texas,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,848",14.5,13.6,15.5,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,48,BO1,CAT1,_RFSMOK3,RESP046,"(31.827240407000488, -99.42677020599967)"
2014,UT,Utah,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,213",9.7,9,10.3,"2,708",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,49,BO1,CAT1,_RFSMOK3,RESP046,"(39.360700171000474, -111.58713063499971)"
2014,VT,Vermont,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,867,16.4,15.2,17.6,"2,669",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,50,BO1,CAT1,_RFSMOK3,RESP046,"(43.62538123900049, -72.51764079099962)"
2014,VA,Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,457",19.5,18.4,20.7,"2,706",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,51,BO1,CAT1,_RFSMOK3,RESP046,"(37.54268067400045, -78.45789046299967)"
2014,WA,Washington,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,141",15.3,14.3,16.4,"2,707",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,53,BO1,CAT1,_RFSMOK3,RESP046,"(47.52227862900048, -120.47001078999972)"
2014,WV,West Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,367",26.7,25.2,28.1,"2,688",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,54,BO1,CAT1,_RFSMOK3,RESP046,"(38.66551020200046, -80.71264013499967)"
2014,WI,Wisconsin,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,013",17.4,16,18.7,"2,697",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,55,BO1,CAT1,_RFSMOK3,RESP046,"(44.39319117400049, -89.81637074199966)"
2014,WY,Wyoming,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,875,19.5,17.6,21.4,"2,696",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,56,BO1,CAT1,_RFSMOK3,RESP046,"(43.23554134300048, -108.10983035299967)"
2014,GU,Guam,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,569,29.3,26.5,32,"2,673",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,66,BO1,CAT1,_RFSMOK3,RESP046,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,538,11.3,10.2,12.4,"2,522",%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,72,BO1,CAT1,_RFSMOK3,RESP046,"(18.220833, -66.590149)"
2014,UW,All States and DC (median) **,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,51,18.1,,,"2,688",%,Crude Prevalence,**,,BRFSS,CLASS17,Topic15,98,BO1,CAT1,_RFSMOK3,RESP046,
2014,US,"All States, DC and Territories (median) **",Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,18.1,,,"2,689",%,Crude Prevalence,**,,BRFSS,CLASS17,Topic15,99,BO1,CAT1,_RFSMOK3,RESP046,
