GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC06_VC14,2011 Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC07_VC14,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over
HC08_VC14,2010 Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC09_VC14,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over
HC01_VC15,2014 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC02_VC15,2013 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC03_VC15,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC04_VC15,2012 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC05_VC15,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC06_VC15,2011 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC07_VC15,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC08_VC15,2010 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC09_VC15,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC01_VC16,2014 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC02_VC16,2013 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC03_VC16,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC04_VC16,2012 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC05_VC16,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC06_VC16,2011 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC07_VC16,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC08_VC16,2010 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC09_VC16,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC01_VC17,2014 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC02_VC17,2013 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC03_VC17,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC04_VC17,2012 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC05_VC17,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC06_VC17,2011 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC07_VC17,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC08_VC17,2010 Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC09_VC17,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC19,2014 Estimate; EMPLOYMENT STATUS - Own children under 6 years
HC02_VC19,2013 Estimate; EMPLOYMENT STATUS - Own children under 6 years
HC03_VC19,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years
HC04_VC19,2012 Estimate; EMPLOYMENT STATUS - Own children under 6 years
HC05_VC19,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years
HC06_VC19,2011 Estimate; EMPLOYMENT STATUS - Own children under 6 years
HC07_VC19,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years
HC08_VC19,2010 Estimate; EMPLOYMENT STATUS - Own children under 6 years
HC09_VC19,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years
HC01_VC20,2014 Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC02_VC20,2013 Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC03_VC20,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC04_VC20,2012 Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC05_VC20,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC06_VC20,2011 Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC07_VC20,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC08_VC20,2010 Estimate; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC09_VC20,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Own children under 6 years - All parents in family in labor force
HC01_VC22,2014 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
HC02_VC22,2013 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
HC03_VC22,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years
HC04_VC22,2012 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
HC05_VC22,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years
HC06_VC22,2011 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
HC07_VC22,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years
HC08_VC22,2010 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
HC09_VC22,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years
HC01_VC23,2014 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC02_VC23,2013 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC03_VC23,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC04_VC23,2012 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC05_VC23,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC06_VC23,2011 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC07_VC23,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC08_VC23,2010 Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC09_VC23,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Own children 6 to 17 years - All parents in family in labor force
HC01_VC27,2014 Estimate; COMMUTING TO WORK - Workers 16 years and over
HC02_VC27,2013 Estimate; COMMUTING TO WORK - Workers 16 years and over
HC03_VC27,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over
HC04_VC27,2012 Estimate; COMMUTING TO WORK - Workers 16 years and over
HC05_VC27,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over
HC06_VC27,2011 Estimate; COMMUTING TO WORK - Workers 16 years and over
HC07_VC27,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over
HC08_VC27,2010 Estimate; COMMUTING TO WORK - Workers 16 years and over
HC09_VC27,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over
HC01_VC28,"2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC02_VC28,"2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC03_VC28,"2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC04_VC28,"2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC05_VC28,"2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC06_VC28,"2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC07_VC28,"2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC08_VC28,"2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC09_VC28,"2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC01_VC29,"2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC02_VC29,"2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC03_VC29,"2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC04_VC29,"2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC05_VC29,"2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC06_VC29,"2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC07_VC29,"2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC08_VC29,"2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC09_VC29,"2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC01_VC30,2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC02_VC30,2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC03_VC30,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC04_VC30,2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC05_VC30,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC06_VC30,2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC07_VC30,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC08_VC30,2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC09_VC30,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC01_VC31,2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC02_VC31,2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC03_VC31,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Walked
HC04_VC31,2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC05_VC31,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Walked
HC06_VC31,2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC07_VC31,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Walked
HC08_VC31,2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC09_VC31,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Walked
HC01_VC32,2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC02_VC32,2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC03_VC32,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Other means
HC04_VC32,2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC05_VC32,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Other means
HC06_VC32,2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC07_VC32,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Other means
HC08_VC32,2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC09_VC32,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Other means
HC01_VC33,2014 Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC02_VC33,2013 Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC03_VC33,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC04_VC33,2012 Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC05_VC33,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC06_VC33,2011 Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC07_VC33,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC08_VC33,2010 Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC09_VC33,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC01_VC36,2014 Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC02_VC36,2013 Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC03_VC36,2014 - 2013 Statistical Significance; COMMUTING TO WORK - Mean travel time to work (minutes)
HC04_VC36,2012 Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC05_VC36,2014 - 2012 Statistical Significance; COMMUTING TO WORK - Mean travel time to work (minutes)
HC06_VC36,2011 Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC07_VC36,2014 - 2011 Statistical Significance; COMMUTING TO WORK - Mean travel time to work (minutes)
HC08_VC36,2010 Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC09_VC36,2014 - 2010 Statistical Significance; COMMUTING TO WORK - Mean travel time to work (minutes)
HC01_VC40,2014 Estimate; OCCUPATION - Civilian employed population 16 years and over
HC02_VC40,2013 Estimate; OCCUPATION - Civilian employed population 16 years and over
HC03_VC40,2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over
HC04_VC40,2012 Estimate; OCCUPATION - Civilian employed population 16 years and over
HC05_VC40,2014 - 2012 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over
HC06_VC40,2011 Estimate; OCCUPATION - Civilian employed population 16 years and over
HC07_VC40,2014 - 2011 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over
HC08_VC40,2010 Estimate; OCCUPATION - Civilian employed population 16 years and over
HC09_VC40,2014 - 2010 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over
HC01_VC41,"2014 Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC02_VC41,"2013 Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC03_VC41,"2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC04_VC41,"2012 Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC05_VC41,"2014 - 2012 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC06_VC41,"2011 Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC07_VC41,"2014 - 2011 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC08_VC41,"2010 Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC09_VC41,"2014 - 2010 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC01_VC42,2014 Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC02_VC42,2013 Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC03_VC42,2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC04_VC42,2012 Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC05_VC42,2014 - 2012 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC06_VC42,2011 Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC07_VC42,2014 - 2011 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC08_VC42,2010 Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC09_VC42,2014 - 2010 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC01_VC43,2014 Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC02_VC43,2013 Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC03_VC43,2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC04_VC43,2012 Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC05_VC43,2014 - 2012 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC06_VC43,2011 Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC07_VC43,2014 - 2011 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC08_VC43,2010 Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC09_VC43,2014 - 2010 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC01_VC44,"2014 Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC02_VC44,"2013 Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC03_VC44,"2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC04_VC44,"2012 Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC05_VC44,"2014 - 2012 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC06_VC44,"2011 Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC07_VC44,"2014 - 2011 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC08_VC44,"2010 Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC09_VC44,"2014 - 2010 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC01_VC45,"2014 Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
HC02_VC45,"2013 Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
HC03_VC45,"2014 - 2013 Statistical Significance; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
HC04_VC45,"2012 Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
