Team,Position,Name,Rank
ARI,WR,Larry Fitzgerald,16
MIA,WR,Jarvis Landry,17
DAL,WR,Dez Bryant,18
CAR,WR,Kelvin Benjamin,19
CLE,WR,Terrelle Pryor,20
KC,WR,Tyreek Hill,21
DET,WR,Golden Tate,22
DEN,WR,Emmanuel Sanders,23
BAL,WR,Mike Wallace,24
NE,WR,Julian Edelman,25
LAR,WR,Kenny Britt,26
MIN,WR,Adam Thielen,27
MIA,WR,Kenny Stills,28
JAC,WR,Allen Robinson,29
WAS,WR,DeSean Jackson,30
WAS,WR,Jamison Crowder,31
CIN,WR,A.J. Green,32
CIN,WR,Brandon LaFell,33
NO,WR,Willie Snead,34
NYG,WR,Sterling Shepard,35
WAS,WR,Pierre Garcon,36
HOU,WR,DeAndre Hopkins,37
CHI,WR,Cameron Meredith,38
DET,WR,Marvin Jones,39
BAL,WR,Steve Smith,40
NYJ,WR,Quincy Enunwa,41
DAL,WR,Cole Beasley,42
JAC,WR,Marqise Lee,43
MIN,WR,Stefon Diggs,44
ARI,WR,J.J. Nelson,45
DET,WR,Anquan Boldin,46
LAC,WR,Dontrelle Inman,47
ATL,WR,Taylor Gabriel,48
CAR,WR,Ted Ginn Jr.,49
MIA,WR,DeVante Parker,50
PHI,WR,Jordan Matthews,51
NYJ,WR,Brandon Marshall,52
CHI,WR,Alshon Jeffery,53
GB,WR,Ty Montgomery,54
NE,WR,Chris Hogan,55
ATL,WR,Mohamed Sanu,56
GB,WR,Randall Cobb,57
LAC,WR,Travis Benjamin,58
LAR,WR,Tavon Austin,59
SF,WR,Jeremy Kerley,60
DAL,WR,Terrance Williams,61
SEA,WR,Tyler Lockett,62
ARI,WR,Michael Floyd,63
PIT,WR,Eli Rogers,64
HOU,WR,Will Fuller,65
IND,WR,Donte Moncrief,66
NYJ,WR,Robby Anderson,67
LAR,WR,Brian Quick,68
TB,WR,Adam Humphries,69
OAK,WR,Seth Roberts,70
BUF,WR,Robert Woods,71
BAL,WR,Breshad Perriman,72
CIN,WR,Tyler Boyd,73
JAC,WR,Allen Hurns,74
KC,WR,Jeremy Maclin,75
ARI,WR,John Brown,76
NE,WR,Malcolm Mitchell,77
IND,WR,Phillip Dorsett,78
NYG,WR,Victor Cruz,79
TEN,WR,Tajae Sharpe,80
TEN,WR,Kendall Wright,81
BUF,WR,Marquise Goodwin,82
CAR,WR,Devin Funchess,83
CLE,WR,Corey Coleman,84
BUF,WR,Sammy Watkins,85
PIT,WR,Sammie Coates,86
MIN,WR,Cordarrelle Patterson,87
SEA,WR,Jermaine Kearse,88
CHI,WR,Eddie Royal,89
KC,WR,Albert Wilson,90
KC,WR,Chris Conley,91
PHI,WR,Dorial Green-Beckham,92
PHI,WR,Nelson Agholor,93
CLE,WR,Andrew Hawkins,94
NE,WR,Danny Amendola,95
SF,WR,Torrey Smith,96
TB,WR,Russell Shepard,97
ATL,WR,Aldrick Robinson,98
BUF,WR,Justin Hunter,99
ATL,WR,Justin Hardy,100
KC,TE,Travis Kelce,1
CAR,TE,Greg Olsen,2
MIN,TE,Kyle Rudolph,3
SEA,TE,Jimmy Graham,4
TEN,TE,Delanie Walker,5
TB,TE,Cameron Brate,6
NE,TE,Martellus Bennett,7
WAS,TE,Jordan Reed,8
PHI,TE,Zach Ertz,9
LAC,TE,Hunter Henry,10
LAC,TE,Antonio Gates,11
IND,TE,Jack Doyle,12
DAL,TE,Jason Witten,13
NO,TE,Coby Fleener,14
DET,TE,Eric Ebron,15
BAL,TE,Dennis Pitta,16
HOU,TE,C.J. Fiedorowicz,17
IND,TE,Dwayne Allen,18
BUF,TE,Charles Clay,19
CHI,TE,Zach Miller,20
NE,TE,Rob Gronkowski,21
CLE,TE,Gary Barnidge,22
CIN,TE,Tyler Eifert,23
WAS,TE,Vernon Davis,24
SF,TE,Vance McDonald,25
LAR,TE,Lance Kendricks,26
JAC,TE,Julius Thomas,27
HOU,TE,Ryan Griffin,28
OAK,TE,Clive Walford,29
ARI,TE,Jermaine Gresham,30
MIA,TE,Dion Sims,31
PIT,TE,Jesse James,32
SF,TE,Garrett Celek,33
ATL,TE,Austin Hooper,34
NYG,TE,Will Tye,35
GB,TE,Jared Cook,36
ATL,TE,Jacob Tamme,37
PIT,TE,Ladarius Green,38
ATL,TE,Levine Toilolo,39
IND,TE,Erik Swoope,40
GB,TE,Richard Rodgers,41
PHI,TE,Trey Burton,42
CIN,TE,C.J. Uzomah,43
DEN,TE,Virgil Green,44
PIT,TE,Xavier Grimble,45
SEA,TE,Luke Willson,46
OAK,TE,Mychal Rivera,47
JAC,TE,Marcedes Lewis,48
JAC,TE,Ben Koyack,49
NO,TE,Josh Hill,50
KC,TE,Demetrius Harris,51
NYJ,TE,Austin Seferian-Jenkins,52
ARI,TE,Darren Fells,53
TEN,TE,Anthony Fasano,54
CAR,TE,Ed Dickson,55
NYG,TE,Jerell Adams,56
NE,TE,A.J. Derby,57
DEN,TE,Jeff Heuerman,58
NYG,TE,Larry Donnell,59
TB,TE,Brandon Myers,60
LAR,TE,Tyler Higbee,61
BAL,TE,Crockett Gillmore,62
HOU,TE,Stephen Anderson,63
NO,TE,John Phillips,64
BUF,TE,Nick O'Leary,65
MIA,TE,Dominique Jones,66
PHI,TE,Brent Celek,67
MIA,TE,Jordan Cameron,68
ATL,TE,Joshua Perkins,69
MIN,TE,Rhett Ellison,70
DAL,TE,Gavin Escobar,71
NE,TE,Matt Lengel,72
PIT,TE,David Johnson,73
CLE,TE,Connor Hamlett,74
TB,TE,Alan Cross,75
SF,TE,Blake Bell,76
ATL,TE,D.J. Tialavea,77
CIN,TE,Tyler Kroft,78
DAL,TE,Geoff Swaim,79
TEN,TE,Phillip Supernaw,80
ARI,TE,Ifeanyi Momah,81
TEN,TE,Jace Amaro,82
SEA,TE,Brandon Williams,83
BAL,TE,Nick Boyle,84
NYJ,TE,Brandon Bostick,85
SEA,TE,Nick Vannett,86
OAK,TE,Lee Smith,87
GB,TE,Justin Perillo,88
LAC,TE,Sean McGrath,89
CLE,TE,Malcolm Johnson,90
CHI,TE,Ben Braunecker,91
DET,TE,Cole Wick,92
KC,TE,Ross Travis,93
TB,TE,Luke Stocker,94
CHI,TE,Logan Paulsen,95
CAR,TE,Chris Manhertz,96
DEN,TE,Henry Krieger Coble,97
NE,TE,Clay Harbor,98
SF,TE,Je'Ron Hamm,99
JAC,TE,Alex Ellis,100
ATL,K,Matt Bryant,0
BAL,K,Justin Tucker,1
WAS,K,Dustin Hopkins,2
PHI,K,Caleb Sturgis,3
IND,K,Adam Vinatieri,4
NO,K,Wil Lutz,5
DET,K,Matt Prater,6
KC,K,Cairo Santos,7
HOU,K,Nick Novak,8
DAL,K,Dan Bailey,9
NE,K,Stephen Gostkowski,10
OAK,K,Sebastian Janikowski,11
SEA,K,Stephen Hauschka,12
CAR,K,Graham Gano,13
DEN,K,Brandon McManus,14
JAC,K,Jason Myers,15
GB,K,Mason Crosby,16
LAC,K,Josh Lambo,17
ARI,K,Chandler Catanzaro,18
TEN,K,Ryan Succop,19
NYJ,K,Nick Folk,20
BUF,K,Dan Carpenter,21
PIT,K,Chris Boswell,22
TB,K,Roberto Aguayo,23
CIN,K,Mike Nugent,24
MIA,K,Andrew Franks,25
SF,K,Phil Dawson,26
CHI,K,Connor Barth,27
LAR,K,Greg Zuerlein,28
CLE,K,Cody Parkey,29
MIN,K,Kai Forbath,30
MIN,K,Blair Walsh,31
NYG,K,Robbie Gould,32
NYG,K,Josh Brown,33
CIN,K,Randy Bullock,34
CLE,K,Patrick Murray,35
DAL,K,Chris Jones,36
SEA,K,Jon Ryan,37
OAK,K,Marquette King,38
WAS,K,Tress Way,39
BUF,K,Colton Schmidt,40
IND,K,Pat McAfee,41
BAL,K,Sam Koch,42
LAC,K,Drew Kaser,43
PHI,K,Donnie Jones,44
LAR,K,Johnny Hekker,45
DEN,K,Riley Dixon,46
MIA,K,Matt Darr,47
PIT,K,Jordan Berry,48
NYJ,K,Lachlan Edwards,49
ARI,K,Drew Butler,50
